agent_transcript,audio_emotion
আসসালামু আলাইকুম ফfহিম বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি খুবই দুঃখিত বিষয়টার জন্য কাইন্ডলি একটু সময় দিন আমি চেক করছি স্যার এসএমএসটি আপনি আজকে পেয়েছেন স্যার এসএমএসটি কি আমাকে পড়ে শুনাতে পারবেন তিন জিবি ত্রিশ মিনিট তারপর স্যার আমাকে শুনতে পারছেন স্যার আপনার কোনো কথা শুনতে পরিনি স্যার রিচার্জটি কখন করেছেন স্যার কাইন্ডলি রিচার্জের পর থেকে ত্রিশ মিনিট অপেক্ষা করতে হবে ত্রিশ মিনিটের মধ্যেই সমস্ত অফারটি পাবেন স্যার ত্রিশ মিনিট পার হওয়ার পর অফারটি পাননি স্যার সিস্টেমে চেক করে দেখতে পাচ্ছি যে সাতাশ টাকার যে অফারটি এটি আপনার জন্য এলিজেবল নেই স্যার এ কারণে আপনি অফারটি পাচ্ছেন না স্যার কাইন্ডলি চেক করে দেখবেন এসএমএসটি আজকের ছিলো না এটি একটি পুরোনো এসএমএস কাইন্ডলি একটু সময় দেন চেক করছি স্যার টাকাটি ব্যাক নিতে হলে আপনাকে দুটি কন্ডিশন ফিলআপ করতে হচ্ছে যে ডেটা প্যাকেজটি সম্পূর্ণ অক্ষত থাকবে এবং প্রতি ছয় মাসে শুধুমাত্র একবারই আপনি আমাদের কাছ থেকে এ ধরনের অফার নিতে পারছেন জি পূর্বে যেহেতু আপনি কোনো এধরনের অফার গ্রহণ করেননি এই কারণে বর্তমানে নিতে পারছেন কাইন্ডলি একটু সময় দেন আপনার জন্য রিকোয়েস্টটি রাখছি জি স্যার সর্বোচ্চ চব্বিশ ঘণ্টার মধ্যে আপনাকে অফারটি পাঠিয়ে দেওয়া হবে স্যার যেদিন আপনাকে এসএমএস করা হচ্ছে শুধুমাত্র ঐ দিনই রাত এগারোটা পর্যন্ত অফারটি কার্যকর থাকছে না স্যার আমি আমি চেক করে দেখলাম যে এগারো টাকায় এক জিবি যে অফারটি দশ দিন মেয়াদের জন্য পেয়েছেন স্যার আপনি যদি পূর্বে এটা না গ্রহণ করে থাকেন এক্ষেত্রে নিতে পারবেন শুধুমাত্র একবার নেয়া যাবে জি রিচার্জে না পর্যন্ত পরিমাণ টাকা আপনার অ্যাকাউন্টে রেখে তারপরে এই কোডটি ডায়াল করতে হবে জি স্যার নিতে পারেন স্যার আপনি কোন কোন অফারের জন্য এলিজিবল আছেন এই বিষয়টি সরাসরি চেক করতে স্টার ট্রিপল এইট হ্যাশ এই নম্বরটি ডায়াল করবেন সেখানে যেগুলো দেখতে পারবেন সবগুলোই আপনার জন্য অ্যাভেলেবল আছে ঠিক আছে আর আমি কোডটি এসএমএস করে দিয়েছি স্যার কত টাকার অফারটি বলছেন উনত্রিশ টাকা একটু সময় দিন আমি চেক করছি স্যার সিস্টেমে চেক করে দেখছি এই অফারটা আপনার জন্য এল এভেলেবল নেই ঠিক আছে এবং আপনার একটি এসএমএস করে দিয়েছি স্টার ট্রিপল এইট হ্যাশ এই নাম্বারটি ডায়াল করে ফ্রিতে চেক করতে পারছেন নিজে নিজেই জি রিকোয়েস্টটা আমি অলরেডি করে দিয়েছি সর্বোচ্চ চব্বিশ ঘণ্টার মধ্যেই পেয়ে যাবেন ঠিক আছে জি স্যার যেটার মেয়াদ আগে শেষ হবে সেটা আগে কাটা হবে যেই ডেটা প্যাকের মেয়াদ শেষ হবে আগে সেটা আগে কাটা হয় ঠিক আছে জি স্যার আপনার নাম্বার থেকে স্টার এইট ট্রিপল ফোর হ্যাশ এই নম্বরটি ডায়াল করবেন তারপর সেখান থেকে দুই নাম্বার অপশন আমি আপনাকে এই এই তথ্যটি এসএমএস করে দিয়েছি জি সাময়িক ভাবে আপনি স্থগিত রাখতে পারছেন আপনার ডেটা প্যাকেজ গুলো আমি আপনাকে এসএমএস করে দিয়েছি কিভাবে করতে হবে ঠিক আছে চেক করে নেবেন ওকে এয়ারটেলের সাথে থাকার জন্য ধন্যবাদ ভালো থাকুন আসসালামু আলাইকুম,N
আসসালামু আলাইকুম রুমা বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি জি স্যার বলুন কিভাবে সহযোগিতা জি স্যার খুবই স্যরি বিষয়টির জন্য একটু সময় দিয়ে সাথে থাকবেন চেক করে আপনাকে কানফার্ম করছি আপনার কাজটিই করছি স্যার একটু সময় দিয়ে সহযোগিতা করবেন স্যার দেখতে পাচ্ছি আপনি বত্রিশ টাকা করে লোন বত্রিশ টাকা লোন নিয়েছিলেন স্যার সেপ্টেম্বরের ছয় তারিখে স্যার আপনি হচ্ছে বত্রিশ টাকা লোন নেয়ার আগে স্যার আরেকবার কিন্তু সেপ্টেম্বরের ছয় তারিখে বত্রিশ টাকা নিয়েছিলেন এবং আপনি সেপ্টেম্বরের পাঁচ তারিখে সতেরো টাকা তেত্রিশ পয়সার বিনিময়ে পঁচিশ মিনিট লোন নিয়েছিলেন অগাস্টের ছাব্বিশ তারিখে সতেরো টাকা তেত্রিশ পয়সার বিনিময়ে পঁয়ত্রিশ মিনিট লোন নিয়েছিলেন এই দুটি অফারই কিন্তু আপনার বকেয়া ছিলো কেমন সতেরো টাকা তেত্রিশ পয়সা করে বকেয়া ছিলো সেগুলোই আপনি লোন নিয়েছিলেন স্যার আপনার লোন গুলো বকেয়া ছিলো কেমন একবার স্যার সেপ্টেম্বরের পাঁচ তারিখে ছ সতেরো টাকা তেত্রিশ পয়সার বিনিময়ে পাঁচ মিনিট নিয়েছিলেন এবং অগাস্টের স্যার খুবই স্যরি বিষয়টির জন্য আমি আপনাকে বিষয়টি বুঝাতে পারিনি স্যার আপনি হচ্ছে সেপ্টেম্বরের পাঁচ তারিখে একবার লোন নিয়েছিলেন সতেরো টাকা তেত্রিশ পয়সার বিনিময়ে পঁচিশ মিনিট ঠিক আছে এবং আরেকবার আপনি নিয়েছিলেন অগাস্টের ছাব্বিশ তারিখে সতেরো টাকা তেত্রিশ তেত্রিশ পয়সার বিনিময়ে আপনি পঁয়ত্রিশ মিনিট লোন নিয়েছিলন এই দুইটা লোন এই দুটো লোন আপনার এক সাথে জমে যাওয়ার কারণে স্যার আপনার টাকা চার্জ করা হয়েছে আপনি চাইলে আপনার লোন হিস্ট্রি নিজেও চেক করতে পারতেন স্টার ওয়ান ফোর ওয়ান স্টার সিক্স ডাবল জিরো হ্যাশ এই কোডটি ডায়াল করে আপনার সুবিধার্থে আমি কোডটি এসএমএস করে পাঠিয়ে দিয়েছি চেক করে নিবেন কোনো ধরনের কনফিউশন থাকবে না আপনার কেমন স্যরি সাত তারিখে আপনি হচ্ছে রিচার্জ করেছেন ষাইট টাকার কত তারিখে সেটা জানতে চাচ্ছেন একটু সময় দিবেন আপনার কাজটি করছি একটু সময় দিয়ে সহযোগিতা করবেন আপনি ষাইট টাকা রিচার্জ করেছিলেন স্যার ছয় তারিখে [বারো টাকা লোন নেননি স্যার আপনি দুইবার বত্রিশ টাকা করে লোন নিয়েছেন এবং সতেরো টাকা করে দুইবার পনেরো মিনিট পঁচিশ মিনিট নিয়েছিলেন] সতরো টাকায় আপনি হচ্ছে নব্বই টাকার জন্য লোন নেয়ার জন্য এলিজেবল রয়েছেন কেমন নব্বই টাকা নিতে পারবেন বারে বারে ঠিক আছে স্যার আপনাকে আমি হচ্ছে স্যার কোডটি এসএমএস করে পাঠিয়ে দিয়েছি একটু চেক করে নিবেন আশা করছি আপনার কোনো ধরনের কনফিউশন থাকবে না এই মুহূর্তে কোনো ধরনের সার্ভিস আপনার অ্যাকটিভ নেই স্যরি স্যার স্যরি স্যার বিষয়টির জন্য কোডটি আমি আপনাকে এসএমএস করে পাঠিয়ে দিয়েছি একটু চেক করে নিবেন কোনো ধরনের সমস্যা হচ্ছে না ঠিক আছে স্যার [স্যার আপনার লোন পারপাসেই টাকা চার্জ করা হয়েছিলো আমি কি আপনাকে বুঝাতে পরিনি স্যার] আপনাকে একটি কোড দিয়ে দিয়েছি এসএমএস এর মাধ্যমে সেই কোর্ডটি ডায়াল করে আপনার লোন হিস্ট্রি চেক করে নিবেন কোনো ধরনের কনফিউশন থাকছে না আপনার কেমন জি স্যার এয়ারটেলের সাথে থাকার জন্য অসংখ্য ধন্যবাদ ভালো থাকুন আসসালামু আলাইকুম,A
,
আজকে আপনাকে কিভাবে হেল্প করতে পারি [প্রফেশনাল ল্যাঙ্গুয়েজ ইউজ করুন কলটি আমি এখান থেকে কন্টিনিউ করতে পারবো না] সময় দিবেন চেক করছি টাকা কেটে নেয়ার মতো কোনো সার্ভিস রয়েছে কি না দেখতে পাচ্ছি আনি আমাদের এখানে থেকে লোন নিয়েছিলেন যে লোনটি নিয়েছিলেন আগস্টের পাঁচ তারিখে জি না পরিশোধ হয়নি আপনি লোন নিয়েছিলেন আগস্টের পাঁচ তারিখে আপনি লোন নিয়েছেন তেরো টাকা যার জন্য আপনার থেকে স্যরি পনেরো মিনিট লোন নিয়েছেন যার জন্য তেরো টাকা পরিমাণ চার্জ করা হবে আপনার থেকে আগস্টের সাতাশ তারিখে এক পয়সাও চার্জ করা হয়েছে লোনটি দেওয়া হয় জি না অটোমেটিকভাবে অ্যাঁ জি না আপনাকে অটোমেটিক ভাবে কখনই লোন দেওয়া হবে না স্যার,A
আসসালামু আলাইকুম দোহা বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি বিষয়টির জন্য আন্তরিকভাবে দুঃখিত কাইন্ডলি ‍কিছুক্ষণ সময় দিবেন চেক করে দেখছি আপনার টাকা চার্জের কোনো সার্ভিস অ্যাকটিভ রয়েছে কি না সময় দিয়ে সাথেই থাকুন ম্যাম চেক করে দেখছি আপনার এয়ারটেল আড্ডা ক্যাফে ডেইলি সার্ভিসটি অ্যাকটিভ রয়েছে এটির জন্য প্রত্যেক দিন এক টাকা চৌত্রিশ পয়সা করে চার্জ করা হচ্ছে জি আপনার সুবিধার্থে এই সার্ভিসটি বন্ধ করে দিয়েছি কাইন্ডলি কিছুক্ষণ সময় দিবেন চেক করে দেখছি আপনার অন্য কোনো সার্ভিস অ্যাকটিভ রয়েছে কি না সময় দিয়ে সাথেই থাকুন ম্যাম চেক করে দেখছি আপনার টাকা চার্জের কোনো সার্ভিস অ্যাকটিভ রয়েছে কি না দেখতে পাচ্ছি আপনার আরও একটি সার্ভিস অ্যাকটিভ রয়েছে ঠিক আছে জি আপনার সুবিধার্থে এই সার্ভিসটিও বন্ধ করে দিয়েছি ঠিক আছে এবং ভবিষ্যতে আপনি চাইলে নিজে থেকে আপনার সকল সার্ভিস গুলো বন্ধ করতে ডায়াল করবেন স্টার নাইন হ্যাশ এই কোডটি এই কোডটি ডায়াল করলে আপনার কলার টিউন মাই টিউন মাই হেলথ ফ্যামিলি এবং মিসকল অ্যালার্ট সার্ভিস সহ সকল সার্ভিস বন্ধ হয়ে যাবে আপনার সুবিধার্থে কোডটি আপনাকে এসএমএস করে দিয়েছি ঠিক আছে ওয়েলকাম ম্যাম আশা করছি কাঙ্ক্ষিত সার্ভিসটি দিতে পেরেছি এয়ারটেলের সাথে থাকার জন্য ধন্যবাদ ভালো থাকুন আসসালামু আলাইকুম,N
আসসালামু আলাইকুম মিতু বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি দুঃখিত বিষয়টির জন্য স্যার ডেইলি কি টাকা কেটে নেওয়া হচ্ছে সময় দিবেন চেক করে জানাচ্ছি কোন পারপাসে আপনার টাকা কেটে নেওয়া হচ্ছে সময় দিবেন তবে দেখতে পাচ্ছি স্যার আপনার তো টাকা কেটে নেওয়ার মতো কোনো ধরনের সার্ভিস অ্যাকটিভ নেই শুধুমাত্র আপনার লোন পারপাসে গতকালকে টেক টাকা কেটে নেওয়া হয়েছে স্যার এছাড়া বর্তমানে আর কোনো ধরনের সার্ভিস আপনার অ্যাকটিভ নেই মোস্ট ওয়েলকাম স্যার,N
আসালামু আলাইকুম ফাহিম বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি স্যার আপনার নম্বরটিতে কি কি ভ্যালু অ্যাডেড সার্ভিস চালু আছে এই বিষয়টি চেক করেতে পারছেন ফ্রিতেই স্টার ওয়ান টু ওয়ান স্টার ফোর স্টার ফোর হ্যাশ এই নাম্বারটি ডায়াল করেই জি স্যার এছাড়াও আপনার নিজে থেকে সার্ভিস গুলো বন্ধ করতে চাইলে মোবাইলে থেকে ডায়াল করবেন স্টার নাইন হ্যাশ এক্ষেত্রে আপনার কলার টিউন মাই টিউন মাই হেলথ ফ্যামিলি সহ যত ধরনের টাকা কাটার সার্ভিস আছে সব সার্ভিস ইনস্ট্যান্টলি  বন্ধ হয়ে যাবে জি স্যার আমি আপনাকে কোডটি এসএমএস করে দিয়েছি সিমটিকে ফোরজি করতে হলে অবশ্যই সিমটিকে রিপ্লেস করে নিতে হচ্ছে আপনার নিকটস্থ এয়ারটেল কেয়ার অথবা বায়োমেট্রিক রিটেইল পেয়েন্ট থেকে সিমটিকে রিপ্লেসমেন্টের মাধ্যমে ফোরজি করে নিতে পারছেন দুইশ টাকা চার্জ হবে ফোরজি করতে হলে স্যার এমন কোনো অপশন সুযোগ নেই সিমটি ফোরজি করতে হলে অবশ্যই রিপ্লেস করতেই হয় রিপ্লেসমেন্ট ছাড়া কোনো ফোরজি করার সুযোগ নেই তবে আমি আপনার জন্য একটা চমৎকার অফার দেখতে পাচ্ছি আপনি চুয়ান্ন টাকা রিচার্জ করার মাধ্যমে ফ্রিতেই সিমটিকে রিপ্লেস করতে পারবেন আমি আপনাকে এসএমএসটি পাঠিয়ে দিয়েছি এটা আপনি সরাসরি রিচার্জ করলে হবে না আপনাকে যে এসএমএসটি আমি পাঠিয়েছি এই এসএমএসটি আপনার নিকটস্থ কেয়ার অথবা বায়োমেট্রিক রিটেইল পয়েন্ট যেখানে সিম বেচাকেনা করা হয় ওখানে এসএমএসটি শো করলে তারা আপনাকে রিচার্জটি করে দিবে এবং সম্পূর্ণ বিনামূল্যেই আপনাকে সিমটিকে ফোরজি করে দেয়া হবে ঠিক আছে জি ওরা আপনাকে রিচার্জ করে দিলেই অটোমেটিক্যালি ফোরজি হয়ে যাবে না আপনাকে নতুন একটি সিমও দেয়া হবে সিমটিকে রিপ্লেস করে দেয়া হবে সম্পূর্ণ ফ্রিতে আপনি কোথায় থেকে বলছেন আমাকে জানান স্যার স্যার আমি সিস্টেম থেকে এই মুহূর্তে আপনার লোকশনের কেয়ারের সম্পর্কে দেখতে পাচ্ছি না আপনি নিজে থেকে বিষয়টি চেক করবেন স্টার ওয়ান টু ওয়ান স্টার সিক্স হ্যাশ এই নম্বরটি ডায়াল করলে আপনাকে জানিয়ে দেওয়া হচ্ছে কত আপনার নিকটস্থ কেয়ারের লোকেশন ঠিকানাটি ঠিক আছে আমি আপনাকে তথ্যটি এসএমএস করে দিয়েছি ওকে না স্যার কোনো চার্জ কাটা হবে না জি আশে পাশে কোন কেয়ার আছে আপনার নিকটস্থ সেই ঠিকানাটি আপনাকে জানিয়ে দেওয়া হবে ওকে এয়ারটেলের সাথে থাকার জন্য আপনাকেও ধন্যবাদ ভালো থাকুন,N
আসসালামু আলাইকুম আল আমিন বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি বুঝতে পারিনি সময় দিবেন জি স্যার আপনি ভিআইপি কাস্টমার যারা আছে খুবই দুঃখিত স্যার সময় দিবেন চেক করছি দেখতে পাচ্ছি আপনার তিনটি সার্ভিস রয়েছে ইসলামিক কথা ডেইলি সার্ভিস অ্যাঁ এয়ারটেল হেলথ অ্যাঁ প্লাস সার্ভিস মাই হেলথ ফ্যামিলি সার্ভিস এই সার্ভিস গুলোর জন্য আপনার থেকে প্রতিদিন দু টাকা সাতষট্টি পয়সা করে তিনবার চার্জ করা হচ্ছে হেলথ ফ্যামেলি হেলথ প্লাস ইসলামিক কথা কোনটি স্যার দুটি মাই হেলথ ফ্যামিলি এবং মাই হেলথ ফ্যা ফ্যামিলি স্যার হেলথ প্লাস অ্যাঁ মাই হেলথ ফ্যামিলি জি স্যার সময় দিবেন জি জি জি জি জি সময় দিবেন চেক করছি স্যার প্যাকেজ নেয়ার পর যদি নেট কানেকশন না হয় তখন আমাদের সাথে যোগাযোগ করবেন তখন আমাদের সাথে যোগাযোগ করবেন জি স্যার স্যার এখান থেকে দেখতে পাচ্ছি আপনার কোনো অটো রিনিউ নেই স্যার আপনার কোনো অটো রিনিউ এই মুহূর্তে স্যার এখান থেকে দেখতে পাচ্ছি না স্যার কোনো অটো রিনিউ নেই খুবই দুঃখিত স্যার আমি স্যার দেখতে পাচ্ছি আপনি উনপঞ্চাশ টাকার একটি প্যাক নিয়েছিলেন স্যার তিন জিবি স্যার ঐ প্যাকটি স্যার এই মুহূর্তে এখান থেকে স্যার দেখতে পাচ্ছি শেষ হয়েছে আজকে এক্সপায়ার হয়েছে আপনার স্যার এক এই মুহূর্তে কোনো ডেটা ব্যালেন্স নেই আপনার যার কারণে আপনার জি স্যার আপনার অটো রিনিউ অ্যাকটিভ নেই এই বিষয় নিয়ে নিশ্চিত থাকতে পারনে স্যার আপনার কোনো ডেটা প্যাক নেই স্যার ডেটা প্যাক কিনে যদি তখন প্রব্লেম ফেস করেন আমাদের সাথে আরেকবার যোগাযোগ করবেন ঠিক আছে তখন যদি নেট কানেকশন জি জি স্যার বলুন বুঝ বুঝতে পারিনি আপনার কথাটি কাইন্ডলি যদি আরেকবার বলতেন জি জি জি স্যার মাই হেলথ যে ইন্স্যুরেন্সটি আপনি করেছেন এই বিষয়ে সবকিছু আপনাকে কষ্ট করে স্যার যে ইন্স্যরেন্সটি করেছেন তাদের থেকে স্যার পুরো বিডিটিটি জেনে নিতে হবে স্যার তাদের আলাদা একটি হেল্পলাইন রয়েছে তাদের ঐখান থেকে আপনাকে স্যার পুরো বিষয়টি জানতে হবে এবং আমি কি তাদের হেল্প লাইন নাম্বারটি আপনাকে প্রোভাইড করবো জি জি জি অসংখ্য ধন্যবাদ এয়ারটেলের সাথে থাকার জন্য ভালো থাকুন আসসালামু আলাইকুম,A
আসসালামু আলাইকুম সোহানা বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি খুবই স্যরি স্যার প্রব্লেমটির জন্য কাইন্ডলি কিছুটা কাইন্ডলি স্যার নাম্বারটা বলতে হচ্ছে জিরো ওয়ান সিক্স ওয়ান এইট ওয়ান তারপর ট্রিপল সিক্স টু ফোর সময় দিবেন সময় দিন আমি আপনার কাজটি করছি খুবই স্যরি স্যার আপনি কাইন্ডলি যে নাম্বারটা থেকে আপনি মিসকল অ্যালার্ট সার্ভিসটি অ্যাকটিভ করতে চাচ্ছেন এই নাম্বারটার ইনফরমেশন তো আমাদের সিস্টেমে আপডেট নেই স্যার সেক্ষেত্রে হেল্প করতে পারছি না অ্যাঁ খুবই স্যরি স্যার কাইন্ডলি কিছুটা সময় দিন আমি চেক করছি স্যার এ নাম্বারটা তো আপনি আদার্স নাম্বার থেকে কল করেছেন এর জন্য আমরা অ্যকাটিভ করতে পারছি না আপনি যদি আপনার সেই এয়ারটেল নাম্বার থেকে ওয়ান টু ওয়ানে কল করেন জি না স্যার আপনি যদি এয়ারটেল হেল্পলাইনে কল করেন আপনি এয়ারটেল নাম্বার থেকে কল করলে আপনি এয়ারটেলের সকল সেবা আমাদের এন্ড থেকে যেগুলো দেওয়া পসিবল আমরা দিতে পারছি আপনি রবি থেকে কল করেছেন বিধান স্যার আপনি কি রবি মিসকল অ্যালার্ট অ্যাকটিভ করতে চাচ্ছেন না এয়ারটেল মিসকল অ্যালার্টটা স্যার এয়ারটেলের আপনি কাইন্ডলি এয়ারটেল নাম্বার থেকে আমাদেরকে কল করলে আমরা অ্যাকটিভ করে দিতে পারবো ওয়ান টু ওয়ানে কল করবেন আপনি এয়ারটেল নাম্বার থেকে কেমন আর আপনি নিজে খুবই স্যরি স্যার ফারদার ইনস্ট্রাকশন ফলো করে আপনি কলটা অ্যাঁ স্যার আমাদের এন্ড থেকে আসবে ঠিক আছে আর আপনি নিজে থেকে মিসকল অ্যালার্ট সার্ভিসটি স্টার ফাইভ হ্যাশ এই কোডটি ডায়াল করে সাত নাম্বার অপশনে অ্যাকটিভ করতে পারছেন স্যার কোনো ধরনের প্রব্লেম নেই আপনি কাইন্ডলি স্টার ফাইভ হ্যাশ এই কোডটি ডায়াল করে লাস্ট নাম্বারের অপশন থেকে অ্যাকটিভ করবেন কেমন বা আপনি সহজ একটি কোড জি জি ঢোকার পর সাত নাম্বার অপশনে দেখতে পারবেন মিসকল অ্যালার্ট সার্ভিসের যে অপশন রয়েছে ঠিক আছে স্যার সেইক্ষেত্রে আমি আপনাকে সহজ একটি কোড বলে দিচ্ছি আপনি কাইন্ডলি এই কোডটা ডায়াল করুন স্টার টু এইট টু সেভেন টু মিসকল অ্যালার্টের ড্রাইভার স্যরি অ্যাক্টিভেট করার জন্য আপনি কাইন্ডলি ডিরেক্টলি এই কোডটা ডায়াল করুন স্টার টু এইট টু সেভেন টু স্টার ডাবল ওয়ান হ্যাশ নাম্বারটা পুনরায় বলছি স্টার টু এইট টু সেভেন টু স্টার ডাবল ওয়ান হ্যাশ এই কোডটা ডায়াল করবেন স্যার সর্বোচ্চ এক ঘণ্টা সময় লাগবে এই সময়ের মধ্যে আপনি মিসকল অ্যালার্টের নোটিফিকেশন পাবেন আপনার সিমটা এক ঘণ্টার মধ্যে স্যার আপনার নোটিফিকেশন পাওয়া স্টার্ট হবে জি ধন্যবাদ এয়ারটেলে কল করার জন্য ভালো থাকবেন আসসালামু আলাইকুম মোস্ট ওয়েলকাম,N
আসসালামু আলাইকুম সোহানা বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি জি বলুন জি ম্যাম দেখতে পাচ্ছি সোশ্যাল ডেটা প্যাকটা আছে এটা দিয়ে আপনি শুধুমাত্র হোয়াটস আপ ভাইবার ইমু মেসেঞ্জার এগুলই ব্রাউজ করতে পারছেন এছাড়া যখন আদার্স সাইট ব্রাউজ করে থাকেন তাহলে আপনার ডেটা পারপাসে যদি রেগুলার কোনো প্যাক না থাকে তখন আপনার মেইন অ্যাকাউন্ট থেকে টাকা চার্জ  হতে থাকে এবং সর্বোচ্চ পাঁচ টাকা পর্যন্ত চার্জ হয়েই ইন্টারনেট ইউজডটা ব্লক করে দেওয়া হয় যেন অ্যাকাউন্ট থেকে আর কোনো ধরনের টাকা না চার্জ হয়ে থাকে এই প্রব্লেমটা হতে পারে তবে এই মুহূর্তে কিন্তু আপনার কোনো ধরনের পিপিইউ ব্লক বা পেপার ইউজ নেই ম্যাম নিশ্চিন্তে থাকতে পারছেন এবং অ্যাঁ এই মুহূর্তে টাকা চার্জ করার মতোনও কোনো ধরনের সার্ভিস অ্যাকটিভ নেই ভবিষ্যতে আপনি নিজে থেকে স্টার ওয়ান টু ওয়ান স্টার ফোর স্টার ফোর হ্যাশ এই কোডটি ডায়াল করে বা মাই এয়ারটেল অ্যাপসের মাধ্যমে চেক করতে পারছেন এবং টাকা চার্জ করার মতো কোনো ধরনের সার্ভিস অ্যাকটিভ থাকলে আপনি কাইন্ডলি নিজে থেকে স্টার নাইন হ্যাশ এই কোডটি ডায়াল করে অফ করতে পারছেন নিয়ম গুলো আমি আপনাকে এসএমএস করে দিচ্ছি কেমন রেগুলার প্যাক রাখলে আপনার মেইন অ্যাাকউন্ট থেকে কোনো টাকা চার্জ হবে না শুধুমাত্র ইন্টারনেট পারপাসে আপনার অ্যাঁ সেক্ষেত্রে ডেটা যতটুকু ইউজ করবেন ঠিক ততটুকুই ডেটা চার্জ হবে কেমন জি মোস্ট ওয়েলকাম ম্যাম ধন্যবাদ এয়ারটেলে কল করার জন্য ভালো থাকুন আসসালামু আলাইকুম,N
আসসালামু আলাইকুম শাওন বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি খুবই দুঃখিত কত টাকা কেটে নেওয়া হয় কত টাকা রিচার্জে কাইন্ডলি একটু আমাকে বলবেন বিষয়টি আজকে বেলা এগারোটায় খুবই দুঃখিত সময় দিন জি তেরো টাকা কাটার রিজন হচ্ছে আপনার একটি লোন ছিলো স্যার ঠিক আছে তিনশ মেগাবাইট লোন নিয়েছিলেন যেটির জন্য বাইশ টাকা তেত্রিশ পয়সা একটা বিল যার কারণে আজকে আপনার অ্যাকাউন্ট থেকে কিছু অ্যামাউন্ট নয় টাকাতেই এবং দু টাকা সাতষট্টি পয়সায় অ্যামাউন্ট গুলো চার্জ করা হয়েছে এই মুহূর্তে আর কোনো লোন নেই আপনি আবার পুনরায় বত্রিশ টাকা লোন নিতে পারবেন লাস্ট পাঁচটি লোন হিস্ট্রি চেক করবেন স্টার ওয়ান ফোর ওয়ান স্টার সিক্স ডাবল জিরো হ্যাশ কোডটি ডায়াল করে অথবা মাই এয়ারটেল অ্যাপস থেকে আপনার সুবিধার জন্য মাই এয়ারটেল অ্যাপসের লিংক সেহ পুরো প্রসেসটি এসএমএস করের দিয়েছি ঠিক আছে আশা করছি বিষয়টি বোঝাতে পেরেছি ধন্যবাদ এয়ারটেলে কল করার জন্য ভালো থাকবেন আসসালামু আলাইকুম জি,N
